Date/Time,ETR (Wh/m^2),Electricity:Facility [kW](Hourly),Normalized Solar Energy [kWh],Normalized SE2
 03/04  11:00:00,820,1.0234786162,2.05,0.244
 03/04  12:00:00,896,1.0054838803,2.24,0.205
 03/04  13:00:00,904,0.9712041268,2.26,0.168
 03/04  14:00:00,844,0.935344755,2.11,0.17
 03/04  15:00:00,719,0.9185150883,1.7975,0.14
 03/04  16:00:00,538,0.9533435975,1.345,0.145
 03/04  17:00:00,315,1.111323598,0.7875,0.14
 03/04  18:00:00,74,1.4567211771,0.185,0.136
 03/04  19:00:00,0,1.7242501119,0,0.148
 03/04  20:00:00,0,1.8969805695,0,0.111
 03/04  21:00:00,0,1.9396738183,0,0.125
 03/04  22:00:00,0,1.7720730636,0,0.144
 03/04  23:00:00,0,1.4594744745,0,0.154
 03/04  24:00:00,0,1.1556752236,0,0.129
 03/05  01:00:00,0,0.8434588653,0,0.117
 03/05  02:00:00,0,0.7255814776,0,0.128
 03/05  03:00:00,0,0.6739075458,0,0.157
 03/05  04:00:00,0,0.6602842632,0,0.163
 03/05  05:00:00,0,0.658466045,0,0.135
 03/05  06:00:00,0,0.7117823142,0,0.128
 03/05  07:00:00,39,0.8665346215,0.0975,0.128
 03/05  08:00:00,264,1.087684897,0.66,0.104
 03/05  09:00:00,496,1.0262741572,1.24,0.096
 03/05  10:00:00,688,0.9500694907,1.72,0.09
 03/05  11:00:00,827,0.9513191049,2.0675,0.077
 03/05  12:00:00,903,0.9238226553,2.2575,0.07
 03/05  13:00:00,911,0.8761892836,2.2775,0.076
 03/05  14:00:00,850,0.8319343652,2.125,0.108
 03/05  15:00:00,725,0.8174738343,1.8125,0.144
 03/05  16:00:00,544,0.8530594696,1.36,0.179
 03/05  17:00:00,320,1.0162071306,0.8,0.203
 03/05  18:00:00,78,1.3468612309,0.195,0.205
 03/05  19:00:00,0,1.6343420901,0,0.205
 03/05  20:00:00,0,1.8257807412,0,0.198
 03/05  21:00:00,0,1.8890327766,0,0.182
 03/05  22:00:00,0,1.7456865286,0,0.178
 03/05  23:00:00,0,1.4389931486,0,0.169
 03/05  24:00:00,0,1.1372763934,0,0.15
 03/06  01:00:00,0,0.822661367,0,0.115
 03/06  02:00:00,0,0.7137734412,0,0.103
 03/06  03:00:00,0,0.6715972621,0,0.101
 03/06  04:00:00,0,0.6674887524,0,0.098
 03/06  05:00:00,0,0.6750024499,0,0.092
 03/06  06:00:00,0,0.7370662851,0,0.11
 03/06  07:00:00,43,0.908548478,0.1075,0.114
 03/06  08:00:00,271,1.1259317159,0.6775,0.103
 03/06  09:00:00,503,1.0401125156,1.2575,0.099
 03/06  10:00:00,695,0.9419828531,1.7375,0.101
 03/06  11:00:00,834,0.9625636897,2.085,0.103
 03/06  12:00:00,909,0.9407744825,2.2725,0.114
 03/06  13:00:00,917,0.9168637417,2.2925,0.106
 03/06  14:00:00,856,0.8914800622,2.14,0.089
 03/06  15:00:00,731,0.8884688868,1.8275,0.079
 03/06  16:00:00,550,0.9337623371,1.375,0.078
 03/06  17:00:00,326,1.0967767072,0.815,0.081
 03/06  18:00:00,82,1.4486919038,0.205,0.108
 03/06  19:00:00,0,1.7177421622,0,0.114
 03/06  20:00:00,0,1.8988527454,0,0.136
 03/06  21:00:00,0,1.9517532566,0,0.133
 03/06  22:00:00,0,1.7945622678,0,0.13
 03/06  23:00:00,0,1.494464688,0,0.118
 03/06  24:00:00,0,1.2065668902,0,0.115
 03/07  01:00:00,0,0.9053313336,0,0.11
 03/07  02:00:00,0,0.7902413482,0,0.101
 03/07  03:00:00,0,0.7414963492,0,0.107
 03/07  04:00:00,0,0.7301055531,0,0.083
 03/07  05:00:00,0,0.7292790664,0,0.085
 03/07  06:00:00,0,0.7836354939,0,0.081
 03/07  07:00:00,47,0.9342847651,0.1175,0.064
 03/07  08:00:00,278,1.1420191189,0.695,0.054
 03/07  09:00:00,510,1.0558241544,1.275,0.058
 03/07  10:00:00,702,0.9495432584,1.755,0.06
 03/07  11:00:00,840,0.9739357455,2.1,0.066
 03/07  12:00:00,916,0.9486955488,2.29,0.072
 03/07  13:00:00,923,0.9098835912,2.3075,0.068
 03/07  14:00:00,862,0.8816276128,2.155,0.086
 03/07  15:00:00,737,0.8796744581,1.8425,0.082
 03/07  16:00:00,555,0.9287871374,1.3875,0.078
 03/07  17:00:00,331,1.098791403,0.8275,0.076
 03/07  18:00:00,86,1.4560847639,0.215,0.073
 03/07  19:00:00,0,1.7317308447,0,0.064
 03/07  20:00:00,0,1.9109870285,0,0.054
 03/07  21:00:00,0,1.9607829744,0,0.048
 03/07  22:00:00,0,1.7999447361,0,0.038
 03/07  23:00:00,0,1.4997823019,0,0.029
 03/07  24:00:00,0,1.2123969964,0,0.03
 03/08  01:00:00,0,0.910971433,0,0.026
 03/08  02:00:00,0,0.8024307108,0,0.021
 03/08  03:00:00,0,0.7613668326,0,0.023
 03/08  04:00:00,0,0.7598680959,0,0.025
 03/08  05:00:00,0,0.760772055,0,0.021
 03/08  06:00:00,0,0.8163634637,0,0.021
 03/08  07:00:00,51,0.966307223,0.1275,0.02
 03/08  08:00:00,286,1.174483852,0.715,0.019
 03/08  09:00:00,517,1.0927140542,1.2925,0.017
 03/08  10:00:00,709,0.9936999292,1.7725,0.014
 03/08  11:00:00,847,1.0165285048,2.1175,0.015
 03/08  12:00:00,923,0.9932586805,2.3075,0.016
 03/08  13:00:00,930,0.9680470238,2.325,0.016
 03/08  14:00:00,868,0.9341888345,2.17,0.017
 03/08  15:00:00,743,0.9191530944,1.8575,0.021
 03/08  16:00:00,561,0.9625697695,1.4025,0.025
 03/08  17:00:00,337,1.1272304406,0.8425,0.026
 03/08  18:00:00,91,1.4865278721,0.2275,0.023
 03/08  19:00:00,0,1.7553191902,0,0.024
 03/08  20:00:00,0,1.9370657715,0,0.026
 03/08  21:00:00,0,1.9915730768,0,0.025
 03/08  22:00:00,0,1.8363830924,0,0.024
 03/08  23:00:00,0,1.5411415539,0,0.024
 03/08  24:00:00,0,1.2594760607,0,0.024
 03/09  01:00:00,0,0.9644996077,0,0.029
 03/09  02:00:00,0,0.853755741,0,0.037
 03/09  03:00:00,0,0.8093101778,0,0.04
 03/09  04:00:00,0,0.8031317727,0,0.044
 03/09  05:00:00,0,0.8022984054,0,0.036
 03/09  06:00:00,0,0.8544288148,0,0.032
 03/09  07:00:00,56,1.0210692799,0.14,0.043
 03/09  08:00:00,293,1.2077417869,0.7325,0.049
 03/09  09:00:00,525,1.1165888212,1.3125,0.05
 03/09  10:00:00,716,1.0228342469,1.79,0.054
 03/09  11:00:00,854,1.0442716473,2.135,0.05
 03/09  12:00:00,929,1.0110132193,2.3225,0.052
 03/09  13:00:00,936,0.9705393285,2.34,0.046
 03/09  14:00:00,874,0.9366887118,2.185,0.041
 03/09  15:00:00,748,0.9261114127,1.87,0.037
 03/09  16:00:00,567,0.9654979273,1.4175,0.026
 03/09  17:00:00,342,1.129273055,0.855,0.021
 03/09  18:00:00,95,1.4853055703,0.2375,0.022
 03/09  19:00:00,0,1.753029731,0,0.017
 03/09  20:00:00,0,1.9297450177,0,0.019
 03/09  21:00:00,0,1.9774293819,0,0.02
 03/09  22:00:00,0,1.8150902823,0,0.021
 03/09  23:00:00,0,1.5109374558,0,0.024
 03/09  24:00:00,0,1.2197304959,0,0.026
 03/10  01:00:00,0,0.9157282693,0,0.024
 03/10  02:00:00,0,0.8045649474,0,0.03
 03/10  03:00:00,0,0.7610405136,0,0.035
 03/10  04:00:00,0,0.7576203352,0,0.043
 03/10  05:00:00,0,0.7586089417,0,0.047
 03/10  06:00:00,0,0.8135049168,0,0.051
 03/10  07:00:00,61,0.9836885154,0.1525,0.065
 03/10  08:00:00,301,1.167945588,0.7525,0.068
 03/10  09:00:00,532,1.0692086876,1.33,0.076
 03/10  10:00:00,723,0.9526202495,1.8075,0.068
 03/10  11:00:00,861,0.9583090831,2.1525,0.057
 03/10  12:00:00,936,0.9233528689,2.34,0.055
 03/10  13:00:00,942,0.8846360753,2.355,0.055
 03/10  14:00:00,880,0.8561243147,2.2,0.061
 03/10  15:00:00,754,0.85186117,1.885,0.072
 03/10  16:00:00,572,0.8994098854,1.43,0.07
 03/10  17:00:00,347,1.0686193823,0.8675,0.068
 03/10  18:00:00,100,1.4222197432,0.25,0.075
 03/10  19:00:00,0,1.7007142615,0,0.091
 03/10  20:00:00,0,1.8827966759,0,0.08
 03/10  21:00:00,0,1.9336064324,0,0.069
 03/10  22:00:00,0,1.7732053973,0,0.057
 03/10  23:00:00,0,1.4714051739,0,0.053
 03/10  24:00:00,0,1.1822342145,0,0.057
 03/11  01:00:00,0,0.8863978715,0,0.072
 03/11  02:00:00,0,0.7690590914,0,0.087
 03/11  03:00:00,0,0.7183576007,0,0.079
 03/11  04:00:00,0,0.7062124683,0,0.077
 03/11  05:00:00,0,0.7046224889,0,0.077
 03/11  06:00:00,0,0.7591314514,0,0.06
 03/11  07:00:00,66,0.9143018027,0.165,0.057
 03/11  08:00:00,308,1.1406493585,0.77,0.068
 03/11  09:00:00,539,1.0827896955,1.3475,0.104
 03/11  10:00:00,731,0.9985360909,1.8275,0.143
 03/11  11:00:00,868,1.0232526498,2.17,0.143
 03/11  12:00:00,942,1.0034670102,2.355,0.136
 03/11  13:00:00,949,0.9643678188,2.3725,0.113
 03/11  14:00:00,886,0.9277266872,2.215,0.132
 03/11  15:00:00,760,0.9142504552,1.9,0.149
 03/11  16:00:00,578,0.9625298822,1.445,0.156
 03/11  17:00:00,353,1.1299193282,0.8825,0.169
 03/11  18:00:00,104,1.482229878,0.26,0.217
 03/11  19:00:00,0,1.7547210648,0,0.223
 03/11  20:00:00,0,1.9384274042,0,0.361
 03/11  21:00:00,0,1.9939941801,0,0.465
 03/11  22:00:00,0,1.8390088425,0,0.553
 03/11  23:00:00,0,1.5366547096,0,0.626
 03/11  24:00:00,0,1.2424926919,0,0.607
 03/12  01:00:00,0,0.93885969,0,0.602
 03/12  02:00:00,0,0.8268347991,0,0.607
 03/12  03:00:00,0,0.7832843742,0,0.617
 03/12  04:00:00,0,0.7778138102,0,0.566
 03/12  05:00:00,0,0.7811244982,0,0.522
 03/12  06:00:00,0,0.838291354,0,0.516
 03/12  07:00:00,72,0.9948259784,0.18,0.491
 03/12  08:00:00,316,1.208831231,0.79,0.453
 03/12  09:00:00,547,1.1250708466,1.3675,0.328
 03/12  10:00:00,738,1.0250248667,1.845,0.237
 03/12  11:00:00,875,1.0416312677,2.1875,0.184
 03/12  12:00:00,949,1.0071075322,2.3725,0.076
 03/12  13:00:00,955,0.9687110643,2.3875,0.05
 03/12  14:00:00,892,0.9369188847,2.23,0.043
 03/12  15:00:00,765,0.9309531992,1.9125,0.032
 03/12  16:00:00,583,0.9736369665,1.4575,0.026
 03/12  17:00:00,358,1.1424879984,0.895,0.057
 03/12  18:00:00,109,1.4948039876,0.2725,0.091
 03/12  19:00:00,0,1.7709724084,0,0.096
 03/12  20:00:00,0,1.9532657489,0,0.119
 03/12  21:00:00,0,2.0063411112,0,0.117
 03/12  22:00:00,0,1.8491446805,0,0.146
 03/12  23:00:00,0,1.5384585679,0,0.132
 03/12  24:00:00,0,1.2291689362,0,0.119
 03/13  01:00:00,0,0.9030214212,0,0.108
 03/13  02:00:00,0,0.7790360732,0,0.122
 03/13  03:00:00,0,0.7247668005,0,0.121
 03/13  04:00:00,0,0.7096710112,0,0.115
 03/13  05:00:00,0,0.70103658,0,0.083
 03/13  06:00:00,0,0.7459459978,0,0.065
 03/13  07:00:00,77,0.8995203182,0.1925,0.069
 03/13  08:00:00,323,1.0921131108,0.8075,0.077
 03/13  09:00:00,554,1.0078662187,1.385,0.079
 03/13  10:00:00,745,0.9092019205,1.8625,0.078
 03/13  11:00:00,882,0.924803589,2.205,0.056
 03/13  12:00:00,955,0.9209065495,2.3875,0.05
 03/13  13:00:00,961,0.8981881698,2.4025,0.038
 03/13  14:00:00,898,0.8778331771,2.245,0.049
 03/13  15:00:00,771,0.8729467206,1.9275,0.07
 03/13  16:00:00,588,0.9172126659,1.47,0.108
 03/13  17:00:00,363,1.0851469321,0.9075,0.162
 03/13  18:00:00,114,1.4342990509,0.285,0.32
 03/13  19:00:00,0,1.7139824618,0,0.518
 03/13  20:00:00,0,1.89525862,0,0.59
 03/13  21:00:00,0,1.9461098914,0,0.589
 03/13  22:00:00,0,1.7867720819,0,0.612
 03/13  23:00:00,0,1.486446817,0,0.665
 03/13  24:00:00,0,1.1990367234,0,0.675
 03/14  01:00:00,0,0.8976509812,0,0.64
 03/14  02:00:00,0,0.7852678104,0,0.617
 03/14  03:00:00,0,0.7401416049,0,0.537
 03/14  04:00:00,0,0.7332125177,0,0.522
 03/14  05:00:00,0,0.7330686308,0,0.462
 03/14  06:00:00,0,0.7866887301,0,0.465
 03/14  07:00:00,83,0.952248169,0.2075,0.469
 03/14  08:00:00,330,1.1473821195,0.825,0.681
 03/14  09:00:00,561,1.0584216592,1.4025,0.651
 03/14  10:00:00,752,0.9577540118,1.88,0.674
 03/14  11:00:00,888,0.9724436909,2.22,0.668
 03/14  12:00:00,962,0.94314869,2.405,0.594
 03/14  13:00:00,967,0.9083443188,2.4175,0.612
 03/14  14:00:00,904,0.8657837962,2.26,0.68
 03/14  15:00:00,777,0.853260655,1.9425,0.675
 03/14  16:00:00,594,0.8901272479,1.485,0.874
 03/14  17:00:00,368,1.0545719033,0.92,0.896
 03/14  18:00:00,119,1.406670101,0.2975,0.857
 03/14  19:00:00,0,1.6823425241,0,0.834
 03/14  20:00:00,0,1.8695599481,0,0.866
 03/14  21:00:00,0,1.9285792218,0,0.874
 03/14  22:00:00,0,1.778624872,0,0.857
 03/14  23:00:00,0,1.4807923722,0,0.834
 03/14  24:00:00,0,1.1942655728,0,0.79
 03/15  01:00:00,0,0.8932112301,0,0.731
 03/15  02:00:00,0,0.7722662606,0,0.635
 03/15  03:00:00,0,0.7152625518,0,0.621
 03/15  04:00:00,0,0.6949396988,0,0.631
 03/15  05:00:00,0,0.6915080273,0,0.638
 03/15  06:00:00,0,0.7444653141,0,0.691
 03/15  07:00:00,89,0.9067487949,0.2225,0.749
 03/15  08:00:00,338,1.1079278143,0.845,0.642
 03/15  09:00:00,569,1.0304881842,1.4225,0.522
 03/15  10:00:00,759,0.940857388,1.8975,0.427
 03/15  11:00:00,895,0.9620401155,2.2375,0.384
 03/15  12:00:00,968,0.9495287919,2.42,0.454
 03/15  13:00:00,973,0.9146381126,2.4325,0.586
 03/15  14:00:00,910,0.8805876413,2.275,0.692
 03/15  15:00:00,782,0.8698727628,1.955,0.77
 03/15  16:00:00,599,0.915629041,1.4975,0.947
 03/15  17:00:00,374,1.0805385835,0.935,1.078
 03/15  18:00:00,124,1.4311833236,0.31,1.208
 03/15  19:00:00,0,1.7060008004,0,1.349
 03/15  20:00:00,0,1.8890487973,0,1.425
 03/15  21:00:00,0,1.9426677226,0,1.475
 03/15  22:00:00,0,1.7857987232,0,1.455
 03/15  23:00:00,0,1.4862645781,0,1.474
 03/15  24:00:00,0,1.1998013708,0,1.491
 03/16  01:00:00,0,0.9001568424,0,1.518
 03/16  02:00:00,0,0.7884278643,0,1.543
 03/16  03:00:00,0,0.7433763249,0,1.521
 03/16  04:00:00,0,0.7362267184,0,1.515
 03/16  05:00:00,0,0.7396719106,0,1.523
 03/16  06:00:00,0,0.8001651398,0,1.476
 03/16  07:00:00,96,0.9744369194,0.24,1.501
 03/16  08:00:00,345,1.1949527993,0.8625,1.38
 03/16  09:00:00,576,1.108232398,1.44,1.209
 03/16  10:00:00,766,1.0204744177,1.915,1.081
 03/16  11:00:00,902,1.0558835489,2.255,1.094
 03/16  12:00:00,974,1.0295052174,2.435,1.153
 03/16  13:00:00,979,0.9986403375,2.4475,1.101
 03/16  14:00:00,915,0.9707414337,2.2875,0.995
 03/16  15:00:00,788,0.960214788,1.97,1.033
 03/16  16:00:00,604,0.9981925445,1.51,1.074
 03/16  17:00:00,379,1.1589852383,0.9475,1.165
 03/16  18:00:00,129,1.5133570486,0.3225,1.247
 03/16  19:00:00,0,1.7752023539,0,1.359
 03/16  20:00:00,0,1.9526526902,0,1.448
 03/16  21:00:00,0,2.0021321534,0,1.504
 03/16  22:00:00,0,1.842449458,0,1.493
 03/16  23:00:00,0,1.5376112837,0,1.514
 03/16  24:00:00,0,1.2464798025,0,1.493
 03/17  01:00:00,0,0.9407747239,0,1.495
 03/17  02:00:00,0,0.8310244378,0,1.5
 03/17  03:00:00,0,0.7925231024,0,1.497
 03/17  04:00:00,0,0.7947082442,0,1.452
 03/17  05:00:00,0,0.798034745,0,1.484
 03/17  06:00:00,0,0.8547720091,0,1.462
 03/17  07:00:00,102,1.026093157,0.255,1.444
 03/17  08:00:00,353,1.2185019318,0.8825,1.352
 03/17  09:00:00,583,1.1233480945,1.4575,1.223
 03/17  10:00:00,773,1.0153448132,1.9325,0.99
 03/17  11:00:00,908,1.0445357192,2.27,0.972
 03/17  12:00:00,981,1.0309416565,2.4525,0.88
 03/17  13:00:00,985,1.0053493689,2.4625,0.901
 03/17  14:00:00,921,0.9876707188,2.3025,1.011
 03/17  15:00:00,793,0.9827029923,1.9825,1.118
 03/17  16:00:00,610,1.0287049748,1.525,1.235
 03/17  17:00:00,384,1.1945074446,0.96,1.357
 03/17  18:00:00,133,1.5511043785,0.3325,1.331
 03/17  19:00:00,0,1.8149755393,0,1.444
 03/17  20:00:00,0,1.9921256436,0,1.483
 03/17  21:00:00,0,2.0397472142,0,1.444
 03/17  22:00:00,0,1.8775731779,0,1.55
 03/17  23:00:00,0,1.5752034636,0,1.585
 03/17  24:00:00,0,1.2863101473,0,1.563
 03/18  01:00:00,0,0.9908297926,0,1.575
 03/18  02:00:00,0,0.8745785638,0,1.569
 03/18  03:00:00,0,0.8264740803,0,1.627
 03/18  04:00:00,0,0.8177921221,0,1.595
 03/18  05:00:00,0,0.8214015906,0,1.594
 03/18  06:00:00,0,0.8785703709,0,1.56
 03/18  07:00:00,109,1.0366769514,0.2725,1.519
 03/18  08:00:00,360,1.2527078428,0.9,1.539
 03/18  09:00:00,590,1.1698319583,1.475,1.505
 03/18  10:00:00,780,1.0692995099,1.95,1.447
 03/18  11:00:00,915,1.0907319125,2.2875,1.398
 03/18  12:00:00,987,1.0440738779,2.4675,1.316
 03/18  13:00:00,991,0.9928337686,2.4775,1.295
 03/18  14:00:00,927,0.9472564461,2.3175,1.394
 03/18  15:00:00,798,0.9305891341,1.995,1.384
 03/18  16:00:00,615,0.9659676315,1.5375,1.386
 03/18  17:00:00,389,1.1291456228,0.9725,1.355
 03/18  18:00:00,138,1.4914131247,0.345,1.426
 03/18  19:00:00,0,1.7618768306,0,1.488
 03/18  20:00:00,0,1.9478485859,0,1.491
 03/18  21:00:00,0,2.0071391898,0,1.447
 03/18  22:00:00,0,1.8565697416,0,1.398
 03/18  23:00:00,0,1.5443904053,0,1.348
 03/18  24:00:00,0,1.2386080918,0,1.375
 03/19  01:00:00,0,0.9182896515,0,1.408
 03/19  02:00:00,0,0.7966880933,0,1.353
 03/19  03:00:00,0,0.7432427234,0,1.369
 03/19  04:00:00,0,0.7289038654,0,1.298
 03/19  05:00:00,0,0.7227171716,0,1.187
 03/19  06:00:00,0,0.7697222898,0,1.153
 03/19  07:00:00,116,0.93030219,0.29,1.057
 03/19  08:00:00,368,1.1368916857,0.92,1.041
 03/19  09:00:00,598,1.0722539901,1.495,1
 03/19  10:00:00,786,0.9962790549,1.965,1.054
 03/19  11:00:00,921,1.0074300393,2.3025,1.052
 03/19  12:00:00,993,0.9800553861,2.4825,1.096
 03/19  13:00:00,997,0.9359495281,2.4925,1.07
 03/19  14:00:00,932,0.8887276022,2.33,1.146
 03/19  15:00:00,804,0.8634925526,2.01,1.23
 03/19  16:00:00,620,0.8916922749,1.55,1.193
 03/19  17:00:00,394,1.0478656415,0.985,1.025
 03/19  18:00:00,143,1.3801229566,0.3575,0.846
 03/19  19:00:00,1,1.6584341037,0.0025,0.85
 03/19  20:00:00,0,1.8405727051,0,0.802
 03/19  21:00:00,0,1.8941861482,0,0.764
 03/19  22:00:00,0,1.7393482219,0,0.686
 03/19  23:00:00,0,1.4346856619,0,0.56
 03/19  24:00:00,0,1.1372467073,0,0.484
 03/20  01:00:00,0,0.8246390143,0,0.452
 03/20  02:00:00,0,0.7161603276,0,0.355
 03/20  03:00:00,0,0.6744991968,0,0.306
 03/20  04:00:00,0,0.6715788359,0,0.3
 03/20  05:00:00,0,0.6732283921,0,0.271
 03/20  06:00:00,0,0.7280574394,0,0.251
 03/20  07:00:00,123,0.8904680823,0.3075,0.22
 03/20  08:00:00,375,1.0769465334,0.9375,0.203
 03/20  09:00:00,605,0.9742418377,1.5125,0.202
 03/20  10:00:00,793,0.8564557963,1.9825,0.22
 03/20  11:00:00,928,0.8406815348,2.32,0.221
 03/20  12:00:00,999,0.82469889,2.4975,0.243
 03/20  13:00:00,1002,0.7853320897,2.505,0.27
 03/20  14:00:00,938,0.7479902733,2.345,0.254
 03/20  15:00:00,809,0.7356874065,2.0225,0.259
 03/20  16:00:00,625,0.7752912319,1.5625,0.285
 03/20  17:00:00,399,0.9359760657,0.9975,0.291
 03/20  18:00:00,148,1.252024105,0.37,0.269
 03/20  19:00:00,1,1.5464098384,0.0025,0.303
 03/20  20:00:00,0,1.7322449135,0,0.33
 03/20  21:00:00,0,1.7864859106,0,0.324
 03/20  22:00:00,0,1.6291679524,0,0.321
 03/20  23:00:00,0,1.3299375501,0,0.309
 03/20  24:00:00,0,1.0433503388,0,0.317
 03/21  01:00:00,0,0.7432245074,0,0.319
 03/21  02:00:00,0,0.6310989242,0,0.294
 03/21  03:00:00,0,0.5850454953,0,0.242
 03/21  04:00:00,0,0.5780521017,0,0.217
 03/21  05:00:00,0,0.5784444716,0,0.19
 03/21  06:00:00,0,0.6335610758,0,0.175
 03/21  07:00:00,131,0.7838651493,0.3275,0.158
 03/21  08:00:00,383,0.996121075,0.9575,0.13
 03/21  09:00:00,612,0.921209795,1.53,0.125
 03/21  10:00:00,800,0.834175276,2,0.086
 03/21  11:00:00,934,0.839508307,2.335,0.073
 03/21  12:00:00,1005,0.8418799295,2.5125,0.094
 03/21  13:00:00,1008,0.8226123811,2.52,0.088
 03/21  14:00:00,943,0.8022656051,2.3575,0.065
 03/21  15:00:00,814,0.8032652866,2.035,0.066
 03/21  16:00:00,630,0.8558973104,1.575,0.101
 03/21  17:00:00,404,1.0228390407,1.01,0.12
 03/21  18:00:00,153,1.3654193878,0.3825,0.181
 03/21  19:00:00,2,1.6445303642,0.005,0.222
 03/21  20:00:00,0,1.8276752191,0,0.264
 03/21  21:00:00,0,1.8807669805,0,0.279
 03/21  22:00:00,0,1.7233606609,0,0.301
 03/21  23:00:00,0,1.4321195918,0,0.272
 03/21  24:00:00,0,1.1568074947,0,0.264
 03/22  01:00:00,0,0.8714067621,0,0.247
 03/22  02:00:00,0,0.7710173141,0,0.226
 03/22  03:00:00,0,0.7377217126,0,0.192
 03/22  04:00:00,0,0.743598779,0,0.177
 03/22  05:00:00,0,0.7511765762,0,0.152
 03/22  06:00:00,0,0.8112307434,0,0.123
 03/22  07:00:00,138,0.983286906,0.345,0.112
 03/22  08:00:00,390,1.1788039468,0.975,0.078
 03/22  09:00:00,619,1.0927316504,1.5475,0.059
 03/22  10:00:00,807,0.9916664213,2.0175,0.044
 03/22  11:00:00,941,1.0147472326,2.3525,0.042
 03/22  12:00:00,1011,0.9859449591,2.5275,0.032
 03/22  13:00:00,1014,0.9538157538,2.535,0.05
 03/22  14:00:00,948,0.9186147793,2.37,0.058
 03/22  15:00:00,819,0.9060951091,2.0475,0.09
 03/22  16:00:00,635,0.9465566774,1.5875,0.104
 03/22  17:00:00,409,1.1114091021,1.0225,0.135
 03/22  18:00:00,158,1.4702720701,0.395,0.159
 03/22  19:00:00,2,1.7416920634,0.005,0.163
 03/22  20:00:00,0,1.9228501626,0,0.184
 03/22  21:00:00,0,1.9770499404,0,0.231
 03/22  22:00:00,0,1.821826557,0,0.278
 03/22  23:00:00,0,1.5270632718,0,0.299
 03/22  24:00:00,0,1.2457945238,0,0.328
 03/23  01:00:00,0,0.9510431061,0,0.375
 03/23  02:00:00,0,0.8416502936,0,0.409
 03/23  03:00:00,0,0.7979057954,0,0.391
 03/23  04:00:00,0,0.7925873244,0,0.415
 03/23  05:00:00,0,0.7919683168,0,0.437
 03/23  06:00:00,1,0.8427333531,0.0025,0.462
 03/23  07:00:00,145,1.0080059334,0.3625,0.485
 03/23  08:00:00,397,1.1886832985,0.9925,0.458
 03/23  09:00:00,626,1.0889230561,1.565,0.425
 03/23  10:00:00,813,0.9715343814,2.0325,0.402
 03/23  11:00:00,947,0.9729813088,2.3675,0.403
 03/23  12:00:00,1017,0.9324370185,2.5425,0.337
 03/23  13:00:00,1019,0.8859439228,2.5475,0.294
 03/23  14:00:00,953,0.8428788926,2.3825,0.271
 03/23  15:00:00,824,0.8245805009,2.06,0.27
 03/23  16:00:00,640,0.8580248943,1.6,0.281
 03/23  17:00:00,414,1.0190008827,1.035,0.255
 03/23  18:00:00,163,1.3623504761,0.4075,0.235
 03/23  19:00:00,3,1.6432276752,0.0075,0.226
 03/23  20:00:00,0,1.8324002566,0,0.194
 03/23  21:00:00,0,1.8934699513,0,0.178
 03/23  22:00:00,0,1.7463848312,0,0.21
 03/23  23:00:00,0,1.4488599093,0,0.227
 03/23  24:00:00,0,1.1616884221,0,0.222
 03/24  01:00:00,0,0.8605160015,0,0.261
 03/24  02:00:00,0,0.7471088192,0,0.254
 03/24  03:00:00,0,0.6992439408,0,0.261
 03/24  04:00:00,0,0.6895295087,0,0.246
 03/24  05:00:00,0,0.6872426247,0,0.224
 03/24  06:00:00,2,0.7393105705,0.005,0.21
 03/24  07:00:00,153,0.8987333895,0.3825,0.215
 03/24  08:00:00,405,1.0889981183,1.0125,0.204
 03/24  09:00:00,633,0.9966420367,1.5825,0.182
 03/24  10:00:00,820,0.8871108628,2.05,0.147
 03/24  11:00:00,953,0.8789775945,2.3825,0.132
 03/24  12:00:00,1023,0.8601140604,2.5575,0.128
 03/24  13:00:00,1025,0.8218875743,2.5625,0.139
 03/24  14:00:00,959,0.781957679,2.3975,0.139
 03/24  15:00:00,829,0.7660129837,2.0725,0.158
 03/24  16:00:00,645,0.8011907019,1.6125,0.153
 03/24  17:00:00,419,0.9622840906,1.0475,0.143
 03/24  18:00:00,168,1.2858294148,0.42,0.152
 03/24  19:00:00,4,1.5769465884,0.01,0.161
 03/24  20:00:00,0,1.763228101,0,0.207
 03/24  21:00:00,0,1.8186057945,0,0.319
 03/24  22:00:00,0,1.664149778,0,0.375
 03/24  23:00:00,0,1.3686806092,0,0.447
 03/24  24:00:00,0,1.0868607864,0,0.485
 03/25  01:00:00,0,0.7981396337,0,0.45
 03/25  02:00:00,0,0.6879408519,0,0.476
 03/25  03:00:00,0,0.6452687442,0,0.531
 03/25  04:00:00,0,0.6412510623,0,0.636
 03/25  05:00:00,0,0.6443481804,0,0.624
 03/25  06:00:00,2,0.7001107097,0.005,0.557
 03/25  07:00:00,160,0.8550272599,0.4,0.534
 03/25  08:00:00,412,1.0732145261,1.03,0.551
 03/25  09:00:00,640,1.0086854859,1.6,0.479
 03/25  10:00:00,827,0.9294461305,2.0675,0.319
 03/25  11:00:00,959,0.9413319891,2.3975,0.198
 03/25  12:00:00,1029,0.9324139509,2.5725,0.187
 03/25  13:00:00,1030,0.896359462,2.575,0.215
 03/25  14:00:00,964,0.8617473366,2.41,0.257
 03/25  15:00:00,834,0.8477997033,2.085,0.305
 03/25  16:00:00,650,0.8865648446,1.625,0.342
 03/25  17:00:00,424,1.0445963178,1.06,0.372
