Date/Time,ETR (Wh/m^2),Electricity:Facility [kW](Hourly),Normalized Solar Energy [kWh],Normalized SE2
 01/05  21:00:00,0,2.0783394897,0,0.298
 01/05  22:00:00,0,1.9128001399,0,0.25
 01/05  23:00:00,0,1.5958534164,0,0.225
 01/05  24:00:00,0,1.2874012455,0,0.202
 01/06  01:00:00,0,0.9830831813,0,0.159
 01/06  02:00:00,0,0.8638492178,0,0.146
 01/06  03:00:00,0,0.8197139318,0,0.143
 01/06  04:00:00,0,0.8028622985,0,0.124
 01/06  05:00:00,0,0.7916390744,0,0.125
 01/06  06:00:00,0,0.8383652869,0,0.115
 01/06  07:00:00,0,1.0664209574,0,0.106
 01/06  08:00:00,30,1.3594402377,0.075,0.087
 01/06  09:00:00,215,1.3077777807,0.5375,0.076
 01/06  10:00:00,391,1.1191225854,0.9775,0.071
 01/06  11:00:00,517,1.1500184325,1.2925,0.065
 01/06  12:00:00,583,1.1357778234,1.4575,0.061
 01/06  13:00:00,584,1.1160147556,1.46,0.066
 01/06  14:00:00,521,1.0892292736,1.3025,0.083
 01/06  15:00:00,397,1.0906267584,0.9925,0.085
 01/06  16:00:00,223,1.1630723965,0.5575,0.099
 01/06  17:00:00,35,1.4275451457,0.0875,0.107
 01/06  18:00:00,0,1.9559985571,0,0.113
 01/06  19:00:00,0,2.2613899114,0,0.108
 01/06  20:00:00,0,2.2186066321,0,0.104
 01/06  21:00:00,0,2.0650813493,0,0.107
 01/06  22:00:00,0,1.9032916881,0,0.099
 01/06  23:00:00,0,1.5892088473,0,0.092
 01/06  24:00:00,0,1.2847239821,0,0.092
 01/07  01:00:00,0,0.9853782033,0,0.122
 01/07  02:00:00,0,0.8598652123,0,0.124
 01/07  03:00:00,0,0.8166394454,0,0.118
 01/07  04:00:00,0,0.8111551526,0,0.118
 01/07  05:00:00,0,0.8118284672,0,0.097
 01/07  06:00:00,0,0.873113726,0,0.095
 01/07  07:00:00,0,1.0975535195,0,0.087
